entry,name,area,mean,min,max,intden,rawintden,norm_density,genotype,clone
12,20230722_sypN_DAPI_Phal__Puro_60x_003.tiff:0032-0956-1325:33,1.991e-6,1029.041,559,1619,0.002,17453561,0.46634220632205214,syp KO,NA
13,20230722_sypN_DAPI_Phal__Puro_60x_003.tiff:0032-0840-1141:33,1.765e-6,959.322,619,1567,0.002,14425326,0.4209279754678424,syp KO,NA
14,20230722_sypN_DAPI_Phal__Puro_60x_003.tiff:0026-0761-0998:27,1.919e-6,915.577,533,1612,0.002,14972427,0.3925431650667835,syp KO,NA
15,20230722_sypN_DAPI_Phal__Puro_60x_003.tiff:0020-0873-0838:21,1.957e-6,1089.779,603,1860,0.002,18173147,0.5061496643960257,syp KO,NA
16,20230722_sypN_DAPI_Phal__Puro_60x_003.tiff:0026-0747-0664:27,1.387e-6,1099.936,661,1675,0.002,13001244,0.5128416531745815,syp KO,NA
17,20230722_sypN_DAPI_Phal__Puro_60x_003.tiff:0035-0441-1595:36,1.459e-6,921.845,456,1439,0.001,11460373,0.3965811767333325,syp KO,NA
18,20230722_sypN_DAPI_Phal__Puro_60x_003.tiff:0029-0382-1416:30,1.313e-6,968.592,617,1496,0.001,10835643,0.42702120338138216,syp KO,NA
19,20230722_sypN_DAPI_Phal__Puro_60x_003.tiff:0026-0239-1381:27,1.402e-6,1001.319,583,1589,0.001,11963765,0.44851511612146533,syp KO,NA
20,20230722_sypN_DAPI_Phal__Puro_60x_003.tiff:0023-0415-1185:24,1.7e-6,1131.284,662,1752,0.002,16386653,0.5331713521284258,syp KO,NA
21,20230722_sypN_DAPI_Phal__Puro_60x_003.tiff:0026-0458-0753:27,1.233e-6,1209.259,691,1846,0.001,12699633,0.5837403932882479,syp KO,NA
22,20230722_sypN_DAPI_Phal__Puro_60x_003.tiff:0029-0481-0528:30,1.321e-6,1203.941,641,1828,0.002,13551556,0.5805845133099715,syp KO,NA
23,20230722_sypN_DAPI_Phal__Puro_60x_003.tiff:0047-0230-1044:48,1.613e-6,704.44,457,1024,0.001,9679709,0.2546603010801865,syp KO,NA
24,20230722_sypN_DAPI_Phal__Puro_60x_003.tiff:0038-0184-0883:39,1.163e-6,835.258,559,1301,9.713e-4,8276575,0.3400562128292143,syp KO,NA
25,20230722_sypN_DAPI_Phal__Puro_60x_003.tiff:0032-0271-0833:33,1.513e-6,826.976,429,1293,0.001,10659721,0.33460922699287066,syp KO,NA
26,20230722_sypN_DAPI_Phal__Puro_60x_003.tiff:0020-0308-0645:21,9.769e-7,1083.376,530,1669,0.001,9018020,0.5019419124625079,syp KO,NA
27,20230722_sypN_DAPI_Phal__Puro_60x_003.tiff:0041-0202-0649:42,1.165e-6,718.238,429,1128,8.365e-4,7127790,0.2636334700405585,syp KO,NA
28,20230722_sypN_DAPI_Phal__Puro_60x_003.tiff:0050-0184-0467:51,1.038e-6,809.139,478,1200,8.396e-4,7153601,0.32284268636140534,syp KO,NA
29,20230722_sypN_DAPI_Phal__Puro_60x_003.tiff:0035-0307-0339:36,9.293e-7,881.609,583,1301,8.192e-4,6980584,0.3703011222834128,syp KO,NA
30,20230722_sypN_DAPI_Phal__Puro_60x_003.tiff:0041-0601-0296:42,1.204e-6,835.234,509,1307,0.001,8566158,0.3399165536194725,syp KO,NA
1,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0014-1860-0920:15,2.636e-6,685.454,374,1202,0.002,15393248,0.24230190746063862,syp KO,NA
2,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0020-1825-1216:21,1.241e-6,716.172,374,1220,8.889e-4,7574235,0.26248956288504915,syp KO,NA
3,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0023-1703-1132:24,1.704e-6,718.78,445,1201,0.001,10435968,0.2641019503496634,syp KO,NA
4,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0026-1636-0851:27,2.194e-6,623.125,376,1283,0.001,11648704,0.20170753658279056,syp KO,NA
5,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0026-1406-0904:27,1.675e-6,643.021,390,1104,0.001,9174630,0.2145719233659935,syp KO,NA
6,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0020-1346-1067:21,1.916e-6,802.7,428,1316,0.002,13103274,0.3187971465984516,syp KO,NA
7,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0020-1166-1269:21,1.673e-6,840.097,456,1456,0.001,11975589,0.3432392014949153,syp KO,NA
8,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0029-1376-1655:30,1.165e-6,637.767,379,1083,7.429e-4,6329841,0.21119967840883885,syp KO,NA
9,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0035-1261-1735:36,1.218e-6,530.177,325,982,6.456e-4,5500585,0.14098067846248402,syp KO,NA
10,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0035-1157-1617:36,1.198e-6,646.03,442,1038,7.739e-4,6594026,0.21662387071415282,syp KO,NA
11,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0032-1268-0811:33,2.209e-6,740.432,467,1283,0.002,13934932,0.2781769140658492,syp KO,NA
12,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0029-1100-0961:30,2.065e-6,720.459,430,1286,0.001,12677201,0.2652262089165534,syp KO,NA
13,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0029-0885-1065:30,1.537e-6,833.139,501,1504,0.001,10914126,0.3388584852911481,syp KO,NA
14,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0035-0947-0861:36,1.661e-6,775.274,478,1296,0.001,10969352,0.300822164439175,syp KO,NA
15,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0035-0809-0770:36,1.523e-6,795.476,467,1269,0.001,10322886,0.31413700184981896,syp KO,NA
16,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0041-0842-0590:42,1.279e-6,728.751,486,1130,9.322e-4,7942658,0.27065938607173895,syp KO,NA
17,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0035-0622-1381:36,1.37e-6,761.252,513,1188,0.001,8885335,0.2917568353474449,syp KO,NA
18,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0035-0498-0993:36,2.06e-6,781.072,483,1304,0.002,13707808,0.3046659432798498,syp KO,NA
19,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0026-0470-1168:27,1.344e-6,787.195,463,1274,0.001,9018104,0.30892405545622026,syp KO,NA
20,20230722_sypN_DAPI_Phal__Puro_60x_004.tiff:0041-0343-1574:42,1.172e-6,597.121,358,993,6.999e-4,5963447,0.1847831956886613,syp KO,NA
