gene_id,RBP,gene_name,phenotype,is_phenotype
FBgn0000179,imp_targets,NA,pheno_NB_larger,FALSE
FBgn0000179,imp_targets,NA,pheno_NB_smaller,FALSE
FBgn0000179,imp_targets,NA,pheno_NB_less,FALSE
FBgn0000179,imp_targets,NA,pheno_NB_more,FALSE
FBgn0000179,imp_targets,NA,pheno_NB_abnormalshape,FALSE
FBgn0000179,imp_targets,NA,pheno_GMC_larger,FALSE
FBgn0000179,imp_targets,NA,pheno_GMC_smaller,FALSE
FBgn0000179,imp_targets,NA,pheno_GMC_shorterlineage,FALSE
FBgn0000179,imp_targets,NA,pheno_GMC_longerlineage,FALSE
FBgn0000179,imp_targets,NA,pheno_GMC_abnormalshape,FALSE
FBgn0000179,imp_targets,NA,pheno_GFP_aggregatenumber,FALSE
FBgn0000179,imp_targets,NA,pheno_GFP_aggregatesize,FALSE
FBgn0000179,imp_targets,NA,pheno_Underproliferation,FALSE
FBgn0000179,imp_targets,NA,pheno_Overproliferation,FALSE
FBgn0000181,imp_targets,NA,pheno_NB_larger,FALSE
FBgn0000181,imp_targets,NA,pheno_NB_smaller,FALSE
FBgn0000181,imp_targets,NA,pheno_NB_less,FALSE
FBgn0000181,imp_targets,NA,pheno_NB_more,FALSE
FBgn0000181,imp_targets,NA,pheno_NB_abnormalshape,FALSE
FBgn0000181,imp_targets,NA,pheno_GMC_larger,FALSE
FBgn0000181,imp_targets,NA,pheno_GMC_smaller,FALSE
FBgn0000181,imp_targets,NA,pheno_GMC_shorterlineage,FALSE
FBgn0000181,imp_targets,NA,pheno_GMC_longerlineage,FALSE
FBgn0000181,imp_targets,NA,pheno_GMC_abnormalshape,FALSE
FBgn0000181,imp_targets,NA,pheno_GFP_aggregatenumber,FALSE
FBgn0000181,imp_targets,NA,pheno_GFP_aggregatesize,FALSE
FBgn0000181,imp_targets,NA,pheno_Underproliferation,FALSE
FBgn0000181,imp_targets,NA,pheno_Overproliferation,FALSE
FBgn0000183,imp_targets,NA,pheno_NB_larger,FALSE
FBgn0000183,imp_targets,NA,pheno_NB_smaller,FALSE
FBgn0000183,imp_targets,NA,pheno_NB_less,FALSE
FBgn0000183,imp_targets,NA,pheno_NB_more,FALSE
FBgn0000183,imp_targets,NA,pheno_NB_abnormalshape,FALSE
FBgn0000183,imp_targets,NA,pheno_GMC_larger,FALSE
FBgn0000183,imp_targets,NA,pheno_GMC_smaller,FALSE
FBgn0000183,imp_targets,NA,pheno_GMC_shorterlineage,FALSE
FBgn0000183,imp_targets,NA,pheno_GMC_longerlineage,FALSE
FBgn0000183,imp_targets,NA,pheno_GMC_abnormalshape,FALSE
FBgn0000183,imp_targets,NA,pheno_GFP_aggregatenumber,FALSE
FBgn0000183,imp_targets,NA,pheno_GFP_aggregatesize,FALSE
FBgn0000183,imp_targets,NA,pheno_Underproliferation,FALSE
FBgn0000183,imp_targets,NA,pheno_Overproliferation,FALSE
FBgn0000250,imp_targets,NA,pheno_NB_larger,FALSE
FBgn0000250,imp_targets,NA,pheno_NB_smaller,FALSE
FBgn0000250,imp_targets,NA,pheno_NB_less,FALSE
FBgn0000250,imp_targets,NA,pheno_NB_more,FALSE
FBgn0000250,imp_targets,NA,pheno_NB_abnormalshape,FALSE
FBgn0000250,imp_targets,NA,pheno_GMC_larger,FALSE
FBgn0000250,imp_targets,NA,pheno_GMC_smaller,FALSE
FBgn0000250,imp_targets,NA,pheno_GMC_shorterlineage,FALSE
FBgn0000250,imp_targets,NA,pheno_GMC_longerlineage,FALSE
FBgn0000250,imp_targets,NA,pheno_GMC_abnormalshape,FALSE
FBgn0000250,imp_targets,NA,pheno_GFP_aggregatenumber,FALSE
FBgn0000250,imp_targets,NA,pheno_GFP_aggregatesize,FALSE
FBgn0000250,imp_targets,NA,pheno_Underproliferation,FALSE
FBgn0000250,imp_targets,NA,pheno_Overproliferation,FALSE
FBgn0000253,imp_targets,NA,pheno_NB_larger,FALSE
FBgn0000253,imp_targets,NA,pheno_NB_smaller,FALSE
FBgn0000253,imp_targets,NA,pheno_NB_less,FALSE
FBgn0000253,imp_targets,NA,pheno_NB_more,FALSE
FBgn0000253,imp_targets,NA,pheno_NB_abnormalshape,FALSE
FBgn0000253,imp_targets,NA,pheno_GMC_larger,FALSE
FBgn0000253,imp_targets,NA,pheno_GMC_smaller,FALSE
FBgn0000253,imp_targets,NA,pheno_GMC_shorterlineage,FALSE
FBgn0000253,imp_targets,NA,pheno_GMC_longerlineage,FALSE
FBgn0000253,imp_targets,NA,pheno_GMC_abnormalshape,FALSE
FBgn0000253,imp_targets,NA,pheno_GFP_aggregatenumber,FALSE
FBgn0000253,imp_targets,NA,pheno_GFP_aggregatesize,FALSE
FBgn0000253,imp_targets,NA,pheno_Underproliferation,FALSE
FBgn0000253,imp_targets,NA,pheno_Overproliferation,FALSE
FBgn0000259,imp_targets,CkIIbeta,pheno_NB_larger,FALSE
FBgn0000259,imp_targets,CkIIbeta,pheno_NB_smaller,FALSE
FBgn0000259,imp_targets,CkIIbeta,pheno_NB_less,TRUE
FBgn0000259,imp_targets,CkIIbeta,pheno_NB_more,FALSE
FBgn0000259,imp_targets,CkIIbeta,pheno_NB_abnormalshape,TRUE
FBgn0000259,imp_targets,CkIIbeta,pheno_GMC_larger,FALSE
FBgn0000259,imp_targets,CkIIbeta,pheno_GMC_smaller,FALSE
FBgn0000259,imp_targets,CkIIbeta,pheno_GMC_shorterlineage,TRUE
FBgn0000259,imp_targets,CkIIbeta,pheno_GMC_longerlineage,FALSE
FBgn0000259,imp_targets,CkIIbeta,pheno_GMC_abnormalshape,TRUE
FBgn0000259,imp_targets,CkIIbeta,pheno_GFP_aggregatenumber,TRUE
FBgn0000259,imp_targets,CkIIbeta,pheno_GFP_aggregatesize,TRUE
FBgn0000259,imp_targets,CkIIbeta,pheno_Underproliferation,TRUE
FBgn0000259,imp_targets,CkIIbeta,pheno_Overproliferation,FALSE
FBgn0000273,imp_targets,NA,pheno_NB_larger,FALSE
FBgn0000273,imp_targets,NA,pheno_NB_smaller,FALSE
FBgn0000273,imp_targets,NA,pheno_NB_less,FALSE
FBgn0000273,imp_targets,NA,pheno_NB_more,FALSE
FBgn0000273,imp_targets,NA,pheno_NB_abnormalshape,FALSE
FBgn0000273,imp_targets,NA,pheno_GMC_larger,FALSE
FBgn0000273,imp_targets,NA,pheno_GMC_smaller,FALSE
FBgn0000273,imp_targets,NA,pheno_GMC_shorterlineage,FALSE
FBgn0000273,imp_targets,NA,pheno_GMC_longerlineage,FALSE
FBgn0000273,imp_targets,NA,pheno_GMC_abnormalshape,FALSE
FBgn0000273,imp_targets,NA,pheno_GFP_aggregatenumber,FALSE
FBgn0000273,imp_targets,NA,pheno_GFP_aggregatesize,FALSE
