file_name,cell_id,cell_area,channel,nb_rna,depth,gene,genotype,compartment
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,387,8262,1,2,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,390,7447,1,3,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,395,5764,1,2,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,401,8311,1,2,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,410,7878,1,5,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,414,7786,1,2,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,418,3826,1,6,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,421,7417,1,2,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,422,6605,1,16,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,425,8924,1,2,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,430,5796,1,8,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,435,6380,1,5,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,439,6390,1,12,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,440,4514,1,2,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,444,7907,1,8,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,450,9544,1,6,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,451,12727,1,2,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,454,8331,1,2,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,468,4891,1,4,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,471,9683,1,3,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,481,7940,1,5,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,483,5606,1,2,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,485,7195,1,2,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,487,7437,1,2,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,488,6152,1,3,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,491,5612,1,2,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,503,4342,1,2,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,505,4467,1,2,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,508,8381,1,3,shallow,ldh,imp RNAi,CB
20241009_insc-imp-KD_CB_DAPI__ldh_mamo_100x_0001,514,4942,1,2,shallow,ldh,imp RNAi,CB
