file_name,cell_id,cell_area,channel,nb_rna,depth,gene,genotype,compartment
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,300,3515,2,8,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,310,7333,2,19,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,316,5045,2,14,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,340,4296,2,14,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,344,7942,2,32,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,353,6800,2,13,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,458,8427,2,16,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,484,8449,2,6,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,511,6626,2,60,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,535,8334,2,8,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,572,7432,2,11,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,579,6820,2,16,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,588,4209,2,7,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0001,593,7582,2,8,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,62,35469,1,17,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,115,4122,1,6,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,277,10824,1,8,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,336,10087,1,8,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,343,11267,1,7,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,376,8576,1,6,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,523,6685,1,6,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,73,4709,2,12,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,85,5371,2,7,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,94,6075,2,7,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,96,5262,2,10,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,136,6829,2,53,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,168,3771,2,23,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,175,3596,2,41,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,181,3423,2,29,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,187,7239,2,8,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,190,4067,2,19,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,194,6566,2,6,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,195,2966,2,6,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,214,7116,2,7,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,233,4258,2,13,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,237,4541,2,29,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,242,5458,2,27,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,262,4431,2,7,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,303,7158,2,18,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,326,2345,2,9,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,337,3429,2,22,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,342,5346,2,41,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,345,5925,2,44,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,346,8477,2,110,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,349,4080,2,17,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,354,6212,2,22,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,358,7692,2,18,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,390,9195,2,10,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,391,8634,2,32,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,396,7806,2,22,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,515,4713,2,18,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,518,7228,2,6,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,524,5585,2,19,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,531,5269,2,40,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,541,4442,2,23,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,545,4905,2,20,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,546,7830,2,51,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,548,6392,2,24,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,566,4770,2,9,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,567,4570,2,7,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,568,5080,2,6,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,580,3269,2,6,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,581,6725,2,6,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,585,5071,2,12,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,599,5052,2,19,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,612,6306,2,20,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,614,6630,2,6,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,616,4637,2,25,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,624,3433,2,18,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0002,628,2314,2,7,shallow,mamo,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,77,8027,1,11,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,102,6766,1,31,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,110,6756,1,9,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,121,3207,1,8,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,128,13872,1,6,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,140,5368,1,6,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,168,4401,1,8,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,186,12365,1,8,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,188,3161,1,7,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,240,5004,1,11,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,352,6792,1,6,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,355,8076,1,7,shallow,ldh,Wildtype,VNC
20241009_WT_VNC_DAPI__ldh_mamo_100x_0003,374,16162,1,14,shallow,ldh,Wildtype,VNC
