entry,name,area,mean,min,max,intden,rawintden,clone,norm_density
14,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_002.tiff:0036-0406-1291:36,9.862e-7,446.139,297,861,4.4e-4,3748903,Wildtype,0.8115346006073799
15,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_002.tiff:0056-0204-1141:56,6.46e-7,428.325,277,718,2.767e-4,2357503,Wildtype,0.753868150535985
1,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0025-1897-1197:28,1.665e-6,497.667,327,857,8.287e-4,7061403,syp RNAi clone,0.9783839513164637
2,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0029-1580-1539:32,1.148e-6,458.708,293,755,5.267e-4,4487543,syp RNAi clone,0.8523808645828489
3,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0029-1160-0919:32,1.369e-6,561.594,315,1012,7.686e-4,6548742,syp RNAi clone,1.1842368220498842
4,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0025-0985-1037:28,1.487e-6,574.525,350,956,8.544e-4,7279810,syp RNAi clone,1.2267497516144417
5,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0025-0606-0566:28,1.112e-6,474.566,316,869,5.279e-4,4497934,syp RNAi clone,0.9039453875718446
6,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0041-0420-1120:44,8.431e-7,520.273,324,810,4.387e-4,3737639,syp RNAi clone,1.0512851971296373
1,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0031-1690-1055:32,1.326e-6,538.121,342,927,7.135e-4,6079694,Wildtype,1.1088765196963286
2,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0019-1625-1263:20,9.64e-7,491.933,323,811,4.742e-4,4040735,Wildtype,0.9596208202104795
3,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0019-1741-1584:20,9.541e-7,457.572,275,889,4.366e-4,3720060,Wildtype,0.8485923773814684
4,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0007-1419-1149:8,1.217e-6,584.73,318,1053,7.114e-4,6061313,Wildtype,1.258964914023284
5,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0015-1396-0913:16,1.128e-6,590.65,341,966,6.661e-4,5675558,Wildtype,1.2783114088686867
6,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0019-1005-1213:20,1.067e-6,545.43,321,1126,5.821e-4,4960142,Wildtype,1.1330442227253548
7,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0031-1281-1285:32,1.272e-6,580.003,334,1157,7.379e-4,6287808,Wildtype,1.2448149758481764
8,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0024-1393-1566:24,1.109e-6,519.645,317,1039,5.764e-4,4911166,Wildtype,1.0494843187257341
9,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0028-0880-0880:28,1.063e-6,566.816,332,992,6.023e-4,5131948,Wildtype,1.201008789125038
10,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0035-0819-0673:36,9.915e-7,489.224,299,869,4.85e-4,4132965,Wildtype,0.950803519320924
11,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0035-1004-0784:36,9.768e-7,573.889,363,1058,5.606e-4,4776482,Wildtype,1.2245842024034073
12,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0051-0621-0913:52,1.144e-6,577.444,345,894,6.603e-4,5626614,Wildtype,1.2353757845106847
13,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0051-0444-0960:52,9.939e-7,533.268,348,903,5.3e-4,4516246,Wildtype,1.0933103197582124
14,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0047-0420-0585:48,6.164e-7,449.74,289,784,2.772e-4,2362035,Wildtype,0.823154039392165
15,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0055-0541-0265:56,9.68e-7,449.288,267,809,4.349e-4,3705729,Wildtype,0.8217304948186309
16,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0023-0913-1251:24,9.449e-7,485.42,305,938,4.587e-4,3908117,Wildtype,0.938515181232714
17,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_003.tiff:0023-0779-1470:24,6.312e-7,584.649,394,971,3.69e-4,3144244,Wildtype,1.2592831128043254
1,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_004.tiff:0019-1165-0939:20,1.43e-6,542.528,357,1107,7.758e-4,6610708,syp RNAi clone,1.123251661944218
2,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_004.tiff:0023-0339-0984:24,1.343e-6,531.978,307,1050,7.144e-4,6086895,syp RNAi clone,1.0888889696110817
3,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_004.tiff:0043-1844-1435:44,2.364e-6,408.386,263,792,9.655e-4,8226531,syp RNAi clone,0.6895655908370268
4,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_004.tiff:0047-0479-0286:48,9.615e-7,396.919,278,652,3.817e-4,3251955,syp RNAi clone,0.6524743860859579
1,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_004.tiff:0016-1648-1009:16,1.016e-6,529.274,323,911,5.375e-4,4579804,Wildtype,1.0795429378136756
2,20230724_FOGFP-syp-temp_DAPI_GFP_Phal_Puro_60x_004.tiff:0012-1793-1188:12,9.262e-7,529.325,332,1028,4.903e-4,4177433,Wildtype,1.0805338513553064
