n.nascent.transcript,n.mature.transcript,transcription.rate,decay.rate,syp.half.life,normalised.Imp.protein
64.7,291.3,359.8656054,4.941511917,8,1.0000
50.8,1285.2,282.5529019,0.879405235,47,0.4215
77.5,1054.5,431.0600374,1.635125794,25,0.5587
80.6,2097.4,448.3024389,0.854967939,49,0.2724
87.2,1479.8,485.0120678,1.311020592,32,0.2749
53.8,606.2,299.2390969,1.974523899,21,0.8093
73.3,1576.7,407.6993644,1.034310558,40,0.3180
94.3,784.7,524.5027293,2.673647148,16,0.5686
85.2,1178.8,473.8879378,1.608035079,26,0.5332
80,583,444.9651999,3.052934476,14,0.9524
74.3,1291.7,413.2614294,1.279744304,32,0.5011
86.8,2542.2,482.7872418,0.759636916,55,0.3620
57.4,2109.6,319.2625309,0.605351784,69,0.4298
89.3,1737.7,496.6924043,1.143332921,36,0.4591
95.9,1211.1,533.4020333,1.761710951,24,0.5125
128.1,1889.9,712.5005263,1.508017411,28,0.4761
109.5,1396.5,609.0461173,1.744492996,24,0.5994
25.7,781.3,142.9450705,0.731831923,57,0.7274
75.1,2671.9,417.7110814,0.625339393,67,0.2615
18.6,231.4,103.454409,1.788321676,23,0.9425
