image_name,condition,n_repeat,RNA_total,RNA_mature,RNA_nascent,intron_foci_count,avg_RNA_per_foci,pct_mature,txn_rate,decay_rate,half_life
20240308_WT_DAPI_Phal_jim-exon_jim-intron_100x_00001,Wildtype,20240308,70250,64419,5831,857,6.803967327887982,91.69964412811387,52001.02392178559,0.7152068053633561,58.14937794456218
20240308_WT_DAPI_Phal_jim-exon_jim-intron_100x_00002,Wildtype,20240308,72086,67200,4886,844,5.789099526066351,93.22198485142746,43573.487031700286,0.5744956772334294,72.391895155545825
20240308_WT_DAPI_Phal_jim-exon_jim-intron_100x_00003,Wildtype,20240308,96219,87613,8606,1233,6.9797242497972425,91.05582057597772,76748.55288473448,0.7761315998296457,53.58476686521347
20240308_WT_DAPI_Phal_jim-exon_jim-intron_100x_00004,Wildtype,20240308,95457,85607,9850,1718,5.733410942956927,89.68121772106812,87842.58028289968,0.9091374085138962,45.74537407010794
20240308_WT_DAPI_Phal_jim-exon_jim-intron_100x_00005,Wildtype,20240308,83166,76278,6888,1789,3.850195640022359,91.71776928071567,61427.379998843964,0.713504007433018,58.28815311524508
20240308_WT_DAPI_Phal_jim-exon_jim-intron_100x_00006,Wildtype,20240308,108332,97723,10609,1607,6.601742377100186,90.20695639330945,94611.36388033327,0.8577885287800752,48.48378060352857
20240308_sypN_DAPI_Phal_jim-exon_jim-intron_100x_00001,syp KO,20240308,33336,27146,6190,1643,3.767498478393183,81.4314854811615,55202.59613717249,1.8017203336600172,23.08284479928864
20240308_sypN_DAPI_Phal_jim-exon_jim-intron_100x_00002,syp KO,20240308,35694,28797,6897,2271,3.036988110964333,80.67742477727349,61507.642254940016,1.8924113983358286,21.976633025022785
20240308_sypN_DAPI_Phal_jim-exon_jim-intron_100x_00003,syp KO,20240308,33917,28812,5105,1403,3.638631503920171,84.94855087419289,45526.53526337085,1.3999899431954248,29.706521133053116
20240308_sypN_DAPI_Phal_jim-exon_jim-intron_100x_00004,syp KO,20240308,42943,36805,6138,1732,3.543879907621247,85.70663437580049,54738.85865750642,1.3177184831014994,31.561241165646813
20240317_WT_DAPI_Phal_jim-ex_jim-int_100x_00001,Wildtype,20240317,142434,128850,13584,1566,8.67432950191571,90.46295126163697,121142.4985343055,0.8330015809188566,49.9264728738227
20240317_WT_DAPI_Phal_jim-ex_jim-int_100x_00002,Wildtype,20240317,119317,112069,7248,1117,6.4888093106535365,93.92542554707208,64637.870242685975,0.5110169006149763,81.38445281075286
20240317_WT_DAPI_Phal_jim-ex_jim-int_100x_00003,Wildtype,20240317,137007,122092,14915,1895,7.870712401055409,89.11369492069748,133012.39440806585,0.9652473662938305,43.08618939130747
20240317_WT_DAPI_Phal_jim-ex_jim-int_100x_00004,Wildtype,20240317,81182,75396,5786,1081,5.3524514338575395,92.87280431622773,51599.712641305334,0.6063630086502803,68.58734823908604
20240317_WT_DAPI_Phal_jim-ex_jim-int_100x_00005,Wildtype,20240317,92013,84699,7314,1282,5.7051482059282375,92.05112321085063,65226.46012072368,0.6823060917715815,60.953333606641145
20240317_sypN_DAPI_Phal_jim-ex_jim-int_100x_00001,syp KO,20240317,67451,56524,10927,2841,3.8461809222104892,83.80009191857793,97447.29692906038,1.5274627605821862,27.227394282100406
20240317_sypN_DAPI_Phal_jim-ex_jim-int_100x_00002,syp KO,20240317,51280,44125,7155,1691,4.231224127735068,86.04719188767551,63808.49359636013,1.28123116886969,32.46005236532502
20240317_sypN_DAPI_Phal_jim-ex_jim-int_100x_00003,syp KO,20240317,53110,46556,6554,1707,3.839484475688342,87.65957446808511,58448.75849483498,1.1123292384746069,37.388957689028814
20240317_sypN_DAPI_Phal_jim-ex_jim-int_100x_00004,syp KO,20240317,46404,39913,6491,1561,4.158231902626522,86.0119817257133,57886.92270216263,1.284990191519457,32.36509594242065
20240317_sypN_DAPI_Phal_jim-ex_jim-int_100x_00005,syp KO,20240317,51636,44048,7588,1876,4.044776119402985,85.30482609032458,67669.99991742567,1.3611428425090615,30.554347078616658
20240318_WT_DAPI_Phal_jim-exon_jim-intron_100x_00001,Wildtype,20240318,118999,106667,12332,1264,9.75632911392405,89.6368877049387,109977.12690849938,0.9134946557129239,45.52717476068791
20240318_WT_DAPI_Phal_jim-exon_jim-intron_100x_00002,Wildtype,20240318,171839,157509,14330,1633,8.775260257195345,91.66079877094256,127795.34776182259,0.718858465973213,57.85399046151938
20240318_WT_DAPI_Phal_jim-exon_jim-intron_100x_00003,Wildtype,20240318,100109,90251,9858,1267,7.780584056827151,90.15273352046269,87913.92451054062,0.8630567762832433,48.18782723970855
20240318_WT_DAPI_Phal_jim-exon_jim-intron_100x_00004,Wildtype,20240318,126283,116430,9853,1324,7.441842900302115,92.19768298187404,87869.33436826503,0.6686612578397563,62.19715939272112
20240318_WT_DAPI_Phal_jim-exon_jim-intron_100x_00005,Wildtype,20240318,118057,105306,12751,1841,6.926127104834329,89.19928509110007,113713.78083119327,0.95673950027954,43.46933603289641
20240318_sypN_DAPI_Phal_jim-exon_jim-intron_100x_00001,syp KO,20240318,69770,61644,8126,2016,4.030753968253968,88.35316038411925,72467.89922627847,1.0415702860697347,39.92897204328685
20240318_sypN_DAPI_Phal_jim-exon_jim-intron_100x_00002,syp KO,20240318,36076,30325,5751,1499,3.836557705136758,84.05865395276638,51287.58164537625,1.4984599286992042,27.75438304159358
20240318_sypN_DAPI_Phal_jim-exon_jim-intron_100x_00003,syp KO,20240318,65472,57784,7688,2050,3.750243902439024,88.25757575757575,68561.80276293734,1.0512556632971495,39.56110039222795
